Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Amsterdam, Noord-Holland, Nederland",02/05/2021,47,40.8,43.5,35.3,,0.18,0,,10.7,106.5,17.8,4.9,72.7,93.36,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",02/06/2021,43.8,30.6,37.5,16.8,,0.12,0,,27.3,73.63,36.8,4.1,79.5,91.48,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",02/07/2021,30.3,23.2,25.6,6.6,,0.3,0,,30.7,62.29,45.4,1.7,80.6,85.7,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",02/08/2021,26.1,22.8,23.7,6.9,,0.09,0,,24.7,68.88,37.7,6.2,80.5,79.42,"Rain, Overcast"
"Amsterdam, Noord-Holland, Nederland",02/09/2021,28.4,23.1,26.8,14.7,,0.15,0,,14.2,60.86,20.9,10.5,56.8,75.55,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",02/10/2021,30.1,22.7,26.2,12,,0.19,0,,13.1,53.62,15.4,11.5,52.6,77.1,"Rain, Partially cloudy"
"Amsterdam, Noord-Holland, Nederland",02/11/2021,32,14.7,22.9,13.7,,0,0,,8.6,136.55,5.2,6.7,51.1,77.87,Partially cloudy
"Amsterdam, Noord-Holland, Nederland",02/12/2021,26.4,17.9,23,7.5,,0,0,,20.8,78.53,,6.2,46.4,73.04,Partially cloudy
"Amsterdam, Noord-Holland, Nederland",02/13/2021,29.9,16.9,23.3,5.1,,0,0,,14.1,100.45,,6.2,90,64.42,Overcast
"Amsterdam, Noord-Holland, Nederland",02/14/2021,37.5,20.9,30.5,10.4,,0,0,,18.1,139.63,,6.2,98.7,55.61,Overcast
"Amsterdam, Noord-Holland, Nederland",02/15/2021,39.2,33.8,36.5,23.2,,0,0,,19.1,178.58,,4.2,90.2,81.46,Overcast
"Amsterdam, Noord-Holland, Nederland",02/16/2021,49.7,37.7,43.6,31.6,,0,0,,16.9,188.7,,5.1,76.3,88.23,Overcast
"Amsterdam, Noord-Holland, Nederland",02/17/2021,51.5,44.4,47.7,36.9,,0,0,,19.6,211.39,36.9,6.1,81.5,86.85,Overcast
